Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,148.208328,152.908981,145.894867,149.801254,149.801254,17225073163
2020-04-24,149.957855,153.930984,149.957855,153.042343,153.042343,13577475262
2020-04-25,153.018463,159.152679,152.413635,158.119873,158.119873,14768267108
2020-04-26,158.037613,161.151871,157.451874,159.562988,159.562988,14827096223
2020-04-27,159.690903,161.224686,155.849380,158.766693,158.766693,15029581330
2020-04-28,158.805969,159.866531,156.959396,159.569626,159.569626,14650883855
2020-04-29,159.609680,175.462753,159.028397,173.974014,173.974014,21166636895
2020-04-30,173.926636,182.498154,163.933426,165.026825,165.026825,22328632339
2020-05-01,165.265030,173.514389,165.168976,171.347870,171.347870,16650392178
2020-05-02,171.356644,172.650406,170.275681,172.232742,172.232742,14606363482
2020-05-03,172.254089,175.388626,166.927185,169.400421,169.400421,16438681739
2020-05-04,169.366440,170.140564,159.938828,167.272400,167.272400,18161562954
2020-05-05,167.143021,169.838623,163.917175,166.194717,166.194717,15274999859
2020-05-06,165.959183,171.262238,165.550400,165.562500,165.562500,16505917353
2020-05-07,165.446533,173.465805,164.005157,171.508606,171.508606,19062194207
2020-05-08,171.434952,174.464813,168.515549,171.684418,171.684418,16480049920
2020-05-09,171.805801,173.093048,168.524612,170.562820,170.562820,15275316259
2020-05-10,170.524185,170.524185,147.276520,151.902802,151.902802,20306032950
2020-05-11,151.929077,155.394638,146.543594,150.775314,150.775314,16264281936
2020-05-12,150.746521,156.059296,150.639816,154.498688,154.498688,12975830219
2020-05-13,154.548965,163.616470,154.100113,162.743103,162.743103,13933846691
2020-05-14,162.496552,166.914917,161.290878,165.915146,165.915146,16473477235
2020-05-15,165.920303,166.402908,160.102829,161.622269,161.622269,13716755422
2020-05-16,161.614609,167.528351,160.696045,165.798233,165.798233,12706104980
2020-05-17,165.741837,173.174377,165.323730,171.432098,171.432098,12802372584
2020-05-18,171.449554,178.463684,171.362045,175.870422,175.870422,14274228918
2020-05-19,175.935913,175.935913,172.167053,174.167572,174.167572,11705919460
2020-05-20,174.163589,175.442749,170.037079,171.681381,171.681381,10402513839
2020-05-21,171.707870,173.194260,158.019516,163.538177,163.538177,10888429255
2020-05-22,163.500137,171.453690,161.986130,170.284576,170.284576,9897695012
2020-05-23,170.305374,172.929047,168.743423,171.538239,171.538239,8766584618
2020-05-24,171.556046,173.100525,166.063889,166.063889,166.063889,9710334629
2020-05-25,165.745743,169.267349,164.682846,168.283356,168.283356,8536336804
2020-05-26,168.234024,168.621201,162.281158,163.709061,163.709061,8237853510
2020-05-27,163.701508,170.288651,163.631943,170.288651,170.288651,8667599578
2020-05-28,170.306595,178.793152,168.119324,178.430191,178.430191,9912067767
2020-05-29,178.498871,182.008942,176.501114,178.778412,178.778412,9937065423
2020-05-30,178.812500,197.628830,177.214294,196.334579,196.334579,12174341190
2020-05-31,196.339279,197.711563,186.384430,187.079926,187.079926,9909722328
2020-06-01,186.986420,198.722565,186.720673,197.838669,197.838669,11175236415
2020-06-02,197.707657,201.101898,185.936768,188.572784,188.572784,10955824550
2020-06-03,188.712814,194.191910,187.024948,194.191910,194.191910,7842900590
2020-06-04,194.133026,196.110153,188.849686,193.835999,193.835999,8065382633
2020-06-05,193.775085,195.525101,190.029556,190.455856,190.455856,7338012032
2020-06-06,190.439560,194.213348,189.273560,191.015900,191.015900,6407066185
2020-06-07,190.997559,193.052505,186.589661,192.591141,192.591141,7497982964
2020-06-08,192.600021,193.662811,190.399734,193.376923,193.376923,6341050261
2020-06-09,193.271027,194.727051,191.629456,192.648819,192.648819,6644103596
2020-06-10,192.578506,195.219498,190.208237,194.650345,194.650345,6916926608
2020-06-11,194.731827,196.129333,182.561157,184.246262,184.246262,9825714045
2020-06-12,184.184860,190.230972,182.770370,189.320557,189.320557,7069993913
2020-06-13,189.361542,190.675644,188.042282,190.449051,190.449051,5693032052
2020-06-14,190.496353,190.602585,186.206985,187.177979,187.177979,5947892600
2020-06-15,187.132889,185.898880,177.491196,181.945267,181.945267,8337331735
2020-06-16,181.813446,186.585556,180.715454,186.263580,186.263580,6329384429
2020-06-17,186.324127,188.033432,182.782532,185.660385,185.660385,6135922022
2020-06-18,185.557144,186.774994,184.349182,186.779465,186.779465,5402817117
2020-06-19,186.661819,186.984116,182.720261,183.934769,183.934769,5625116952
2020-06-20,183.803650,187.425568,183.531769,185.664459,185.664459,5063492169
2020-06-21,185.617401,188.162415,185.046875,185.424500,185.424500,4534930522
2020-06-22,185.435486,195.534698,185.568542,194.014664,194.014664,7263224342
2020-06-23,194.017731,195.677032,192.412704,194.948730,194.948730,5289720606
2020-06-24,194.983673,198.450058,187.262863,189.959747,189.959747,7102190356
2020-06-25,189.903656,189.953598,185.583359,187.500275,187.500275,5642790132
2020-06-26,187.446350,188.321457,185.593109,186.192108,186.192108,5826905513
2020-06-27,186.162476,188.429169,178.761185,180.702438,180.702438,5607147131
2020-06-28,180.665726,185.272278,177.876236,182.578308,182.578308,5028096870
2020-06-29,182.589859,186.883942,180.024109,185.384598,185.384598,5464309260
2020-06-30,185.200638,187.043335,182.654236,182.703644,182.703644,4919749092
2020-07-01,182.557999,186.592896,181.553513,185.418839,185.418839,5185759594
2020-07-02,185.559616,186.081345,180.881134,183.999619,183.999619,4982925915
2020-07-03,183.940857,184.248825,180.162384,180.551270,180.551270,4092703043
2020-07-04,180.472290,184.279800,180.338089,183.494781,183.494781,4188022811
2020-07-05,183.416351,184.121674,179.977570,182.490021,182.490021,4242067822
2020-07-06,182.506378,193.783173,181.945313,193.284973,193.284973,7029127010
2020-07-07,192.854706,193.968094,187.712906,190.635239,190.635239,5136353562
2020-07-08,190.702576,196.890060,189.834946,195.573807,195.573807,7843396492
2020-07-09,195.635864,195.554794,190.212524,192.793320,192.793320,6687107842
2020-07-10,192.675949,192.709351,188.305176,190.914093,190.914093,5768476480
2020-07-11,190.961472,191.343872,188.811722,189.707382,189.707382,4470641078
2020-07-12,189.708542,192.759842,188.370117,191.744339,191.744339,5223691573
2020-07-13,191.784058,193.860641,189.762329,190.886505,190.886505,6204291325
2020-07-14,191.182098,192.794724,189.411804,191.132690,191.132690,5854219410
2020-07-15,191.078690,192.023056,188.410843,189.375275,189.375275,4916065989
2020-07-16,189.397034,189.984390,184.859863,186.036560,186.036560,4643775838
2020-07-17,186.076767,186.868195,184.756744,185.196136,185.196136,4662143959
2020-07-18,185.261841,188.238388,184.880890,187.394714,187.394714,4295177041
2020-07-19,187.374420,190.249695,185.640762,189.697266,189.697266,4972458033
2020-07-20,189.703125,190.630341,185.535233,186.503860,186.503860,4423186726
2020-07-21,186.621796,192.939621,186.063049,192.444717,192.444717,5346217284
2020-07-22,192.460846,206.486908,191.381729,205.969116,205.969116,6050520930
2020-07-23,206.124649,217.804764,204.935791,215.797913,215.797913,8077078807
2020-07-24,215.824356,223.736679,211.290222,218.281952,218.281952,7400272540
2020-07-25,218.134155,239.800598,218.134155,237.702148,237.702148,8431395717
2020-07-26,237.417282,247.341019,234.740082,241.952423,241.952423,9379784483
2020-07-27,241.963608,256.622833,241.963608,249.481750,249.481750,12139302063
2020-07-28,249.726685,252.973755,239.132416,245.017670,245.017670,9561473007
2020-07-29,244.938843,250.173828,242.248199,245.089081,245.089081,8379517936
2020-07-30,245.053726,258.477539,243.601334,255.017578,255.017578,9014910830
2020-07-31,255.053482,266.413330,250.811890,264.079437,264.079437,9194013477
2020-08-01,264.265869,297.162689,262.573975,294.374634,294.374634,10733569880
2020-08-02,294.642212,314.266022,272.933807,283.004150,283.004150,14437400657
2020-08-03,283.356995,303.499542,281.823578,295.355103,295.355103,9813166554
2020-08-04,295.249054,306.594879,294.860229,297.928802,297.928802,10764552244
2020-08-05,297.802979,309.664581,295.292999,305.927277,305.927277,9808388855
2020-08-06,305.922180,307.282440,298.805267,300.642273,300.642273,8605002528
2020-08-07,300.843933,303.559753,281.882385,290.814240,290.814240,9771401034
2020-08-08,290.843933,301.906219,289.156677,301.906219,301.906219,7158671512
2020-08-09,302.916077,306.312134,295.802917,299.668274,299.668274,7241207984
2020-08-10,299.607788,305.449921,299.607788,302.757782,302.757782,8936818682
2020-08-11,302.763275,304.325104,284.186401,291.440002,291.440002,9801052606
2020-08-12,291.194641,299.947144,282.222412,299.726288,299.726288,9511522850
2020-08-13,299.583679,331.270721,290.274536,328.056488,328.056488,14140407526
2020-08-14,328.007141,339.617828,324.355316,334.235809,334.235809,11511546180
2020-08-15,334.362000,337.565002,328.486938,331.146423,331.146423,9487688617
2020-08-16,331.143127,333.370789,317.186493,330.983521,330.983521,9284928963
2020-08-17,331.126312,337.862122,322.705566,327.734497,327.734497,10092335355
2020-08-18,327.840057,329.879242,317.452393,319.647491,319.647491,9037832034
2020-08-19,319.699768,322.085052,302.804413,310.044067,310.044067,10020991784
2020-08-20,310.269196,316.814911,308.566437,315.001312,315.001312,7596700373
2020-08-21,314.781189,316.544312,295.993774,297.315491,297.315491,9001987556
2020-08-22,297.242737,302.888977,292.459290,302.406555,302.406555,7740438037
2020-08-23,302.198547,302.907196,294.159241,298.915985,298.915985,6214784534
2020-08-24,299.140900,313.197815,297.320740,312.258484,312.258484,7902290896
2020-08-25,312.203003,312.505493,284.981049,291.972900,291.972900,9449891336
2020-08-26,291.954926,297.128510,287.942932,292.377472,292.377472,7540704006
2020-08-27,292.486206,298.522614,284.153656,289.885162,289.885162,7922885553
2020-08-28,289.882843,297.968201,288.969727,296.512115,296.512115,6831430745
2020-08-29,296.371979,303.808685,294.386993,299.543182,299.543182,6574543795
2020-08-30,299.314911,321.122040,299.308655,320.720581,320.720581,8393880960
2020-08-31,320.805420,328.136963,315.440918,325.574951,325.574951,9559479809
2020-09-01,325.421326,363.915619,323.146393,356.037689,356.037689,14077827611
2020-09-02,356.004822,358.927795,318.514374,329.666473,329.666473,14752605347
2020-09-03,329.815918,337.031586,287.310822,290.798187,290.798187,14795704297
2020-09-04,290.043945,303.119080,281.729980,292.372375,292.372375,12611726562
2020-09-05,292.219696,296.838928,238.552933,252.473969,252.473969,22501737597
2020-09-06,252.530060,271.307068,240.260559,266.793091,266.793091,20871336950
2020-09-07,266.859528,270.254028,247.875015,267.973663,267.973663,16536756200
2020-09-08,268.375458,270.083771,253.638412,260.364838,260.364838,13875294172
2020-09-09,260.536652,276.439941,256.253662,270.105438,270.105438,11191579778
2020-09-10,270.351074,291.633911,270.106750,287.402924,287.402924,24532679228
2020-09-11,287.415894,294.357361,277.267303,292.845215,292.845215,21333535775
2020-09-12,292.766907,302.882599,287.488922,302.604889,302.604889,10391090891
2020-09-13,302.867645,303.993469,276.936340,285.512360,285.512360,11719697304
2020-09-14,285.613556,298.247864,279.498718,293.617432,293.617432,13648301435
2020-09-15,293.528046,297.154510,282.106171,283.252045,283.252045,12531146152
2020-09-16,283.178101,287.212097,276.813263,282.270630,282.270630,12429068461
2020-09-17,282.311920,303.556732,281.686768,299.799988,299.799988,15335693024
2020-09-18,300.045288,301.763824,291.525879,297.576569,297.576569,10922746996
2020-09-19,297.326599,299.676056,293.209686,298.489990,298.489990,8554573047
2020-09-20,298.531494,298.531494,284.205933,286.903992,286.903992,9504522455
2020-09-21,287.172546,290.356812,262.487000,266.619812,266.619812,13572005429
2020-09-22,266.571228,270.385040,264.161377,270.354034,270.354034,9992081608
2020-09-23,270.447662,271.597687,249.690720,252.153351,252.153351,9475463893
2020-09-24,252.179138,275.660736,250.303116,273.889679,273.889679,10552854680
2020-09-25,273.894745,280.944550,266.410004,276.313934,276.313934,9614969326
2020-09-26,276.603760,279.265350,273.150177,278.513550,278.513550,8659679210
2020-09-27,278.216949,284.073456,273.907135,279.941193,279.941193,8981699188
2020-09-28,279.932922,285.642395,275.856659,275.717010,275.717010,9400938738
2020-09-29,275.735931,280.440796,273.623016,279.804962,279.804962,7995873635
2020-09-30,279.788605,279.545715,275.556122,278.732208,278.732208,7566837575
2020-10-01,278.718475,284.541901,269.643646,274.120209,274.120209,9592325120
2020-10-02,274.111572,275.309418,261.298462,267.892609,267.892609,10008279146
2020-10-03,267.869415,271.873810,266.661530,268.544189,268.544189,6649085700
2020-10-04,268.506195,273.976318,267.057465,273.116852,273.116852,7199547917
